p,failure_rate,best_p,best_p_error,best_trials_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_trials_series,latest_p_step,latest_q_step,latest_span,candidates
0.83,0.0,0.5005499840892489,0.0005499840892488894,1,1,5,28,0.7972997928,0.29729979279999996,1,19,46,74,[0.330000 1表 1裏 1目 1～1局 1試] [0.188900 1表 2裏 2目 1～2局 1試] [0.071787 1表 3裏 3目 1～3局 1試] [-0.025417 1表 4裏 4目 1～4局 1試] [0.018108 1表 5裏 13目 3～15局 1試] [0.010316 1表 5裏 18目 4～21局 1試] [0.004823 1表 5裏 23目 5～27局 1試] [0.000550 1表 5裏 28目 6～33局 1試]
0.84,0.0,0.49787135999999993,-0.0021286400000000705,1,1,4,4,0.9313919999999999,0.4313919999999999,1,45,47,74,[0.340000 1表 1裏 1目 1～1局 1試] [0.205600 1表 2裏 2目 1～2局 1試] [0.092704 1表 3裏 3目 1～3局 1試] [-0.002129 1表 4裏 4目 1～4局 1試]
0.85,0.0,0.5025784262549502,0.0025784262549501946,1,1,6,55,0.08168959679798751,-0.4183104032020125,1,3,46,74,[0.350000 1表 1裏 1目 1～1局 1試] [0.222500 1表 2裏 2目 1～2局 1試] [0.114125 1表 3裏 3目 1～3局 1試] [0.022006 1表 4裏 4目 1～4局 1試] [-0.007814 1表 5裏 10目 2～11局 1試] [0.004879 1表 6裏 21目 4～24局 1試] [0.003246 1表 6裏 38目 6～44局 1試] [0.002578 1表 6裏 55目 9～64局 1試]
0.86,0.0,0.5001901199458543,0.0001901199458542724,1,1,6,72,0.4834111689230142,-0.016588831076985777,1,7,46,74,[0.360000 1表 1裏 1目 1～1局 1試] [0.239600 1表 2裏 2目 1～2局 1試] [0.136056 1表 3裏 3目 1～3局 1試] [0.047008 1表 4裏 4目 1～4局 1試] [-0.029573 1表 5裏 5目 1～5局 1試] [-0.016589 1表 6裏 11目 2～12局 1試] [-0.008852 1表 6裏 17目 3～19局 1試] [-0.003437 1表 6裏 23目 4～26局 1試] [0.000754 1表 6裏 29目 5～33局 1試] [0.000190 1表 6裏 72目 12～83局 1試]
0.87,0.0,0.4993353078034774,-0.0006646921965225983,1,1,7,45,0.619630814707374,0.11963081470737402,1,9,47,74,[0.370000 1表 1裏 1目 1～1局 1試] [0.256900 1表 2裏 2目 1～2局 1試] [0.158503 1表 3裏 3目 1～3局 1試] [0.072898 1表 4裏 4目 1～4局 1試] [-0.001579 1表 5裏 5目 1～5局 1試] [-0.000665 1表 7裏 45目 6～51局 1試]
0.88,0.0,0.49826338633172984,-0.0017366136682701594,1,1,7,20,0.92680192,0.42680191999999995,1,31,46,74,[0.380000 1表 1裏 1目 1～1局 1試] [0.274400 1表 2裏 2目 1～2局 1試] [0.181472 1表 3裏 3目 1～3局 1試] [0.099695 1表 4裏 4目 1～4局 1試] [0.027732 1表 5裏 5目 1～5局 1試] [0.026238 1表 6裏 12目 2～13局 1試] [-0.014136 1表 7裏 13目 2～14局 1試] [-0.001737 1表 7裏 20目 3～22局 1試]
0.89,0.0,0.4991628668032757,-0.0008371331967242934,1,1,8,22,0.966362,0.46636200000000005,1,45,46,74,[0.390000 1表 1裏 1目 1～1局 1試] [0.292100 1表 2裏 2目 1～2局 1試] [0.204969 1表 3裏 3目 1～3局 1試] [0.127422 1表 4裏 4目 1～4局 1試] [0.058406 1表 5裏 5目 1～5局 1試] [-0.003019 1表 6裏 6目 1～6局 1試] [-0.000837 1表 8裏 22目 3～24局 1試]
0.9,0.0,0.5054548876778606,0.00545488767786062,1,1,9,69,0.6973568802000001,0.19735688020000008,1,8,44,74,[0.400000 1表 1裏 1目 1～1局 1試] [0.310000 1表 2裏 2目 1～2局 1試] [0.229000 1表 3裏 3目 1～3局 1試] [0.156100 1表 4裏 4目 1～4局 1試] [0.090490 1表 5裏 5目 1～5局 1試] [0.031441 1表 6裏 6目 1～6局 1試] [-0.021703 1表 7裏 7目 1～7局 1試] [0.014728 1表 8裏 15目 2～16局 1試] [0.010505 1表 8裏 24目 3～26局 1試] [0.008511 1表 9裏 33目 4～36局 1試] [0.007317 1表 9裏 42目 5～46局 1試] [0.006507 1表 9裏 51目 6～56局 1試] [0.005913 1表 9裏 60目 7～66局 1試] [0.005455 1表 9裏 69目 8～76局 1試]
0.91,0.0,0.49666219275799445,-0.0033378072420055527,1,1,10,68,0.977158,0.47715799999999997,1,45,45,74,[0.410000 1表 1裏 1目 1～1局 1試] [0.328100 1表 2裏 2目 1～2局 1試] [0.253571 1表 3裏 3目 1～3局 1試] [0.185750 1表 4裏 4目 1～4局 1試] [0.124032 1表 5裏 5目 1～5局 1試] [0.067869 1表 6裏 6目 1～6局 1試] [0.016761 1表 7裏 7目 1～7局 1試] [0.009125 1表 9裏 17目 2～18局 1試] [0.008725 1表 9裏 27目 3～29局 1試] [-0.007639 1表 10裏 48目 5～52局 1試] [-0.005295 1表 10裏 58目 6～63局 1試] [-0.003338 1表 10裏 68目 7～74局 1試]
0.92,0.0,0.5007778082567782,0.0007778082567782008,1,1,11,54,0.96557312,0.46557311999999995,1,29,45,74,[0.420000 1表 1裏 1目 1～1局 1試] [0.346400 1表 2裏 2目 1～2局 1試] [0.278688 1表 3裏 3目 1～3局 1試] [0.216393 1表 4裏 4目 1～4局 1試] [0.159082 1表 5裏 5目 1～5局 1試] [0.106355 1表 6裏 6目 1～6局 1試] [0.057847 1表 7裏 7目 1～7局 1試] [0.013219 1表 8裏 8目 1～8局 1試] [-0.009397 1表 10裏 20目 2～21局 1試] [0.001801 1表 11裏 31目 3～33局 1試] [0.000778 1表 11裏 54目 5～58局 1試]
0.93,0.0,0.5018472519642081,0.0018472519642080965,1,1,13,49,0.9732719700000001,0.4732719700000001,1,33,44,74,[0.430000 1表 1裏 1目 1～1局 1試] [0.364900 1表 2裏 2目 1～2局 1試] [0.304357 1表 3裏 3目 1～3局 1試] [0.248052 1表 4裏 4目 1～4局 1試] [0.195688 1表 5裏 5目 1～5局 1試] [0.146990 1表 6裏 6目 1～6局 1試] [0.101701 1表 7裏 7目 1～7局 1試] [0.059582 1表 8裏 8目 1～8局 1試] [0.020411 1表 9裏 9目 1～9局 1試] [-0.016018 1表 10裏 10目 1～10局 1試] [0.014587 1表 11裏 22目 2～23局 1試] [-0.008246 1表 12裏 23目 2～24局 1試] [-0.002454 1表 12裏 36目 3～38局 1試] [0.001847 1表 13裏 49目 4～52局 1試]
0.94,0.0,0.4982395658659593,-0.0017604341340407004,1,1,15,58,0.9208381837535486,0.42083818375354864,1,11,44,74,[0.440000 1表 1裏 1目 1～1局 1試] [0.383600 1表 2裏 2目 1～2局 1試] [0.330584 1表 3裏 3目 1～3局 1試] [0.280749 1表 4裏 4目 1～4局 1試] [0.233904 1表 5裏 5目 1～5局 1試] [0.189870 1表 6裏 6目 1～6局 1試] [0.148478 1表 7裏 7目 1～7局 1試] [0.109569 1表 8裏 8目 1～8局 1試] [0.072995 1表 9裏 9目 1～9局 1試] [0.038615 1表 10裏 10目 1～10局 1試] [0.006298 1表 11裏 11目 1～11局 1試] [0.003512 1表 14裏 42目 3～44局 1試] [-0.001760 1表 15裏 58目 4～61局 1試]
0.95,0.0,0.5011266960101102,0.001126696010110173,1,1,18,70,0.9287886038046873,0.4287886038046873,1,10,43,74,[0.450000 1表 1裏 1目 1～1局 1試] [0.402500 1表 2裏 2目 1～2局 1試] [0.357375 1表 3裏 3目 1～3局 1試] [0.314506 1表 4裏 4目 1～4局 1試] [0.273781 1表 5裏 5目 1～5局 1試] [0.235092 1表 6裏 6目 1～6局 1試] [0.198337 1表 7裏 7目 1～7局 1試] [0.163420 1表 8裏 8目 1～8局 1試] [0.130249 1表 9裏 9目 1～9局 1試] [0.098737 1表 10裏 10目 1～10局 1試] [0.068800 1表 11裏 11目 1～11局 1試] [0.040360 1表 12裏 12目 1～12局 1試] [0.013342 1表 13裏 13目 1～13局 1試] [-0.012325 1表 14裏 14目 1～14局 1試] [0.003650 1表 16裏 32目 2～33局 1試] [0.001816 1表 17裏 51目 3～53局 1試] [0.001127 1表 18裏 70目 4～73局 1試]
0.96,0.0,0.49958680767981345,-0.0004131923201865506,1,1,17,17,0.99090432,0.49090431999999995,1,31,44,74,[0.460000 1表 1裏 1目 1～1局 1試] [0.421600 1表 2裏 2目 1～2局 1試] [0.384736 1表 3裏 3目 1～3局 1試] [0.349347 1表 4裏 4目 1～4局 1試] [0.315373 1表 5裏 5目 1～5局 1試] [0.282758 1表 6裏 6目 1～6局 1試] [0.251447 1表 7裏 7目 1～7局 1試] [0.221390 1表 8裏 8目 1～8局 1試] [0.192534 1表 9裏 9目 1～9局 1試] [0.164833 1表 10裏 10目 1～10局 1試] [0.138239 1表 11裏 11目 1～11局 1試] [0.112710 1表 12裏 12目 1～12局 1試] [0.088201 1表 13裏 13目 1～13局 1試] [0.064673 1表 14裏 14目 1～14局 1試] [0.042086 1表 15裏 15目 1～15局 1試] [0.020403 1表 16裏 16目 1～16局 1試] [-0.000413 1表 17裏 17目 1～17局 1試]
0.97,0.0,0.49630641434198286,-0.00369358565801714,1,1,23,23,0.9875441295549999,0.4875441295549999,1,15,42,74,[0.470000 1表 1裏 1目 1～1局 1試] [0.440900 1表 2裏 2目 1～2局 1試] [0.412673 1表 3裏 3目 1～3局 1試] [0.385293 1表 4裏 4目 1～4局 1試] [0.358734 1表 5裏 5目 1～5局 1試] [0.332972 1表 6裏 6目 1～6局 1試] [0.307983 1表 7裏 7目 1～7局 1試] [0.283743 1表 8裏 8目 1～8局 1試] [0.260231 1表 9裏 9目 1～9局 1試] [0.237424 1表 10裏 10目 1～10局 1試] [0.215301 1表 11裏 11目 1～11局 1試] [0.193842 1表 12裏 12目 1～12局 1試] [0.173027 1表 13裏 13目 1～13局 1試] [0.152836 1表 14裏 14目 1～14局 1試] [0.133251 1表 15裏 15目 1～15局 1試] [0.114254 1表 16裏 16目 1～16局 1試] [0.095826 1表 17裏 17目 1～17局 1試] [0.077951 1表 18裏 18目 1～18局 1試] [0.060613 1表 19裏 19目 1～19局 1試] [0.043794 1表 20裏 20目 1～20局 1試] [0.027481 1表 21裏 21目 1～21局 1試] [0.011656 1表 22裏 22目 1～22局 1試] [-0.003694 1表 23裏 23目 1～23局 1試]
0.98,0.0,0.5031373679776306,0.003137367977630645,1,1,34,34,0.9401010214510512,0.44010102145105123,1,4,39,74,[0.480000 1表 1裏 1目 1～1局 1試] [0.460400 1表 2裏 2目 1～2局 1試] [0.441192 1表 3裏 3目 1～3局 1試] [0.422368 1表 4裏 4目 1～4局 1試] [0.403921 1表 5裏 5目 1～5局 1試] [0.385842 1表 6裏 6目 1～6局 1試] [0.368126 1表 7裏 7目 1～7局 1試] [0.350763 1表 8裏 8目 1～8局 1試] [0.333748 1表 9裏 9目 1～9局 1試] [0.317073 1表 10裏 10目 1～10局 1試] [0.300731 1表 11裏 11目 1～11局 1試] [0.284717 1表 12裏 12目 1～12局 1試] [0.269022 1表 13裏 13目 1～13局 1試] [0.253642 1表 14裏 14目 1～14局 1試] [0.238569 1表 15裏 15目 1～15局 1試] [0.223798 1表 16裏 16目 1～16局 1試] [0.209322 1表 17裏 17目 1～17局 1試] [0.195135 1表 18裏 18目 1～18局 1試] [0.181233 1表 19裏 19目 1～19局 1試] [0.167608 1表 20裏 20目 1～20局 1試] [0.154256 1表 21裏 21目 1～21局 1試] [0.141171 1表 22裏 22目 1～22局 1試] [0.128347 1表 23裏 23目 1～23局 1試] [0.115780 1表 24裏 24目 1～24局 1試] [0.103465 1表 25裏 25目 1～25局 1試] [0.091395 1表 26裏 26目 1～26局 1試] [0.079568 1表 27裏 27目 1～27局 1試] [0.067976 1表 28裏 28目 1～28局 1試] [0.056617 1表 29裏 29目 1～29局 1試] [0.045484 1表 30裏 30目 1～30局 1試] [0.034575 1表 31裏 31目 1～31局 1試] [0.023883 1表 32裏 32目 1～32局 1試] [0.013405 1表 33裏 33目 1～33局 1試] [0.003137 1表 34裏 34目 1～34局 1試]
0.99,0.0,0.4998370298991989,-0.00016297010080107421,1,1,69,69,0.9997020000000001,0.4997020000000001,1,44,47,74,[0.490000 1表 1裏 1目 1～1局 1試] [0.480100 1表 2裏 2目 1～2局 1試] [0.470299 1表 3裏 3目 1～3局 1試] [0.460596 1表 4裏 4目 1～4局 1試] [0.450990 1表 5裏 5目 1～5局 1試] [0.441480 1表 6裏 6目 1～6局 1試] [0.432065 1表 7裏 7目 1～7局 1試] [0.422745 1表 8裏 8目 1～8局 1試] [0.413517 1表 9裏 9目 1～9局 1試] [0.404382 1表 10裏 10目 1～10局 1試] [0.395338 1表 11裏 11目 1～11局 1試] [0.386385 1表 12裏 12目 1～12局 1試] [0.377521 1表 13裏 13目 1～13局 1試] [0.368746 1表 14裏 14目 1～14局 1試] [0.360058 1表 15裏 15目 1～15局 1試] [0.351458 1表 16裏 16目 1～16局 1試] [0.342943 1表 17裏 17目 1～17局 1試] [0.334514 1表 18裏 18目 1～18局 1試] [0.326169 1表 19裏 19目 1～19局 1試] [0.317907 1表 20裏 20目 1～20局 1試] [0.309728 1表 21裏 21目 1～21局 1試] [0.301631 1表 22裏 22目 1～22局 1試] [0.293614 1表 23裏 23目 1～23局 1試] [0.285678 1表 24裏 24目 1～24局 1試] [0.277821 1表 25裏 25目 1～25局 1試] [0.270043 1表 26裏 26目 1～26局 1試] [0.262343 1表 27裏 27目 1～27局 1試] [0.254719 1表 28裏 28目 1～28局 1試] [0.247172 1表 29裏 29目 1～29局 1試] [0.239700 1表 30裏 30目 1～30局 1試] [0.232303 1表 31裏 31目 1～31局 1試] [0.224980 1表 32裏 32目 1～32局 1試] [0.217731 1表 33裏 33目 1～33局 1試] [0.210553 1表 34裏 34目 1～34局 1試] [0.203448 1表 35裏 35目 1～35局 1試] [0.196413 1表 36裏 36目 1～36局 1試] [0.189449 1表 37裏 37目 1～37局 1試] [0.182555 1表 38裏 38目 1～38局 1試] [0.175729 1表 39裏 39目 1～39局 1試] [0.168972 1表 40裏 40目 1～40局 1試] [0.162282 1表 41裏 41目 1～41局 1試] [0.155659 1表 42裏 42目 1～42局 1試] [0.149103 1表 43裏 43目 1～43局 1試] [0.142612 1表 44裏 44目 1～44局 1試] [0.136185 1表 45裏 45目 1～45局 1試] [0.129824 1表 46裏 46目 1～46局 1試] [0.123525 1表 47裏 47目 1～47局 1試] [0.117290 1表 48裏 48目 1～48局 1試] [0.111117 1表 49裏 49目 1～49局 1試] [0.105006 1表 50裏 50目 1～50局 1試] [0.098956 1表 51裏 51目 1～51局 1試] [0.092966 1表 52裏 52目 1～52局 1試] [0.087037 1表 53裏 53目 1～53局 1試] [0.081166 1表 54裏 54目 1～54局 1試] [0.075355 1表 55裏 55目 1～55局 1試] [0.069601 1表 56裏 56目 1～56局 1試] [0.063905 1表 57裏 57目 1～57局 1試] [0.058266 1表 58裏 58目 1～58局 1試] [0.052683 1表 59裏 59目 1～59局 1試] [0.047157 1表 60裏 60目 1～60局 1試] [0.041685 1表 61裏 61目 1～61局 1試] [0.036268 1表 62裏 62目 1～62局 1試] [0.030906 1表 63裏 63目 1～63局 1試] [0.025596 1表 64裏 64目 1～64局 1試] [0.020341 1表 65裏 65目 1～65局 1試] [0.015137 1表 66裏 66目 1～66局 1試] [0.009986 1表 67裏 67目 1～67局 1試] [0.004886 1表 68裏 68目 1～68局 1試] [-0.000163 1表 69裏 69目 1～69局 1試]
