p,number_of_series,b_step,w_step,span,presentable,comment,process
0.5,2000000,1,1,1,《1黒 1白 1目 1～1局で＋０．０》,【完了】,[50.0354 ％（+0.0354） 1黒 1白 1目 1～1局] [50.0000 ％（+0.0000） 1黒 1白 2目 2～3局]
0.51,2000000,1,1,1,《1黒 1白 1目 1～1局で＋０．９》,【完了】,[50.9984 ％（+0.9984） 1黒 1白 1目 1～1局] [50.4878 ％（+0.4878） 1黒 1白 2目 2～3局] [50.4166 ％（+0.4166） 1黒 1白 3目 3～5局] [50.3154 ％（+0.3154） 1黒 1白 4目 4～7局] [50.2700 ％（+0.2700） 1黒 1白 5目 5～9局]
0.52,2000000,1,1,2,《1黒 1白 2目 2～3局で＋０．９》,【完了】,[52.0023 ％（+2.0023） 1黒 1白 1目 1～1局] [50.9610 ％（+0.9610） 1黒 1白 2目 2～3局] [50.7509 ％（+0.7509） 1黒 1白 3目 3～5局] [50.6068 ％（+0.6068） 1黒 1白 4目 4～7局] [50.5536 ％（+0.5536） 1黒 1白 5目 5～9局] [50.4648 ％（+0.4648） 1黒 1白 6目 6～11局] [50.4541 ％（+0.4541） 1黒 1白 7目 7～13局] [49.7323 ％（-0.2677） 2黒 3白 7目 3～6局]
0.53,2000000,1,1,4,《1黒 1白 4目 4～7局で＋０．９》,【完了】,[52.9891 ％（+2.9891） 1黒 1白 1目 1～1局] [51.4634 ％（+1.4634） 1黒 1白 2目 2～3局] [51.1154 ％（+1.1154） 1黒 1白 3目 3～5局] [50.9000 ％（+0.9000） 1黒 1白 4目 4～7局] [50.8312 ％（+0.8312） 1黒 1白 5目 5～9局] [50.6849 ％（+0.6849） 1黒 1白 6目 6～11局] [50.1218 ％（+0.1218） 2黒 3白 7目 3～6局]
0.54,2000000,1,1,6,《1黒 1白 6目 6～11局で＋０．９》,【完了】,[54.0278 ％（+4.0278） 1黒 1白 1目 1～1局] [52.0202 ％（+2.0202） 1黒 1白 2目 2～3局] [51.5030 ％（+1.5030） 1黒 1白 3目 3～5局] [51.2953 ％（+1.2953） 1黒 1白 4目 4～7局] [51.1274 ％（+1.1274） 1黒 1白 5目 5～9局] [50.9958 ％（+0.9958） 1黒 1白 6目 6～11局] [49.0629 ％（-0.9371） 2黒 3白 6目 3～4局]
0.55,2000000,1,2,3,《1黒 2白 3目 2～4局で＋１．６》,【〇十分】,[54.9485 ％（+4.9485） 1黒 1白 1目 1～1局] [52.4641 ％（+2.4641） 1黒 1白 2目 2～3局] [51.9541 ％（+1.9541） 1黒 1白 3目 3～5局] [48.3598 ％（-1.6402） 1黒 2白 3目 2～4局]
0.56,2000000,1,2,3,《1黒 2白 3目 2～4局で－１．２》,【〇十分】,[55.9998 ％（+5.9998） 1黒 1白 1目 1～1局] [53.0551 ％（+3.0551） 1黒 1白 2目 2～3局] [52.2498 ％（+2.2498） 1黒 1白 3目 3～5局] [48.7097 ％（-1.2903） 1黒 2白 3目 2～4局]
0.57,2000000,1,2,3,《1黒 2白 3目 2～4局で－０．９》,【完了】,[56.9766 ％（+6.9766） 1黒 1白 1目 1～1局] [53.5829 ％（+3.5829） 1黒 1白 2目 2～3局] [52.6834 ％（+2.6834） 1黒 1白 3目 3～5局] [49.0140 ％（-0.9860） 1黒 2白 3目 2～4局]
0.58,2000000,1,2,3,《1黒 2白 3目 2～4局で－０．５》,【完了】,[58.0681 ％（+8.0681） 1黒 1白 1目 1～1局] [54.0844 ％（+4.0844） 1黒 1白 2目 2～3局] [53.0373 ％（+3.0373） 1黒 1白 3目 3～5局] [49.4035 ％（-0.5965） 1黒 2白 3目 2～4局]
0.59,2000000,1,2,3,《1黒 2白 3目 2～4局で－０．３》,【完了】,[58.9621 ％（+8.9621） 1黒 1白 1目 1～1局] [54.6932 ％（+4.6932） 1黒 1白 2目 2～3局] [53.3835 ％（+3.3835） 1黒 1白 3目 3～5局] [49.6455 ％（-0.3545） 1黒 2白 3目 2～4局]
0.6,2000000,1,2,2,《1黒 2白 2目 1～2局で－４．３》,【▲不満】,[59.9819 ％（+9.9819） 1黒 1白 1目 1～1局] [55.2457 ％（+5.2457） 1黒 1白 2目 2～3局] [45.6622 ％（-4.3378） 1黒 2白 2目 1～2局]
0.61,2000000,1,2,2,《1黒 2白 2目 1～2局で－３．５》,【〇十分】,[61.0268 ％（+11.0268） 1黒 1白 1目 1～1局] [55.8712 ％（+5.8712） 1黒 1白 2目 2～3局] [46.4466 ％（-3.5534） 1黒 2白 2目 1～2局]
0.62,2000000,1,2,2,《1黒 2白 2目 1～2局で－２．５》,【〇十分】,[61.9946 ％（+11.9946） 1黒 1白 1目 1～1局] [56.3296 ％（+6.3296） 1黒 1白 2目 2～3局] [47.4355 ％（-2.5645） 1黒 2白 2目 1～2局]
0.63,2000000,1,2,2,《1黒 2白 2目 1～2局で－１．６》,【〇十分】,[62.9655 ％（+12.9655） 1黒 1白 1目 1～1局] [56.9921 ％（+6.9921） 1黒 1白 2目 2～3局] [48.3191 ％（-1.6809） 1黒 2白 2目 1～2局]
0.64,2000000,1,2,2,《1黒 2白 2目 1～2局で－０．７》,【完了】,[64.0509 ％（+14.0509） 1黒 1白 1目 1～1局] [57.5388 ％（+7.5388） 1黒 1白 2目 2～3局] [49.2628 ％（-0.7372） 1黒 2白 2目 1～2局]
0.65,2000000,1,2,2,《1黒 8白 11目 3～12局で＋０．０》,【完了】,[65.0135 ％（+15.0135） 1黒 1白 1目 1～1局] [58.1750 ％（+8.1750） 1黒 1白 2目 2～3局] [50.2652 ％（+0.2652） 1黒 2白 2目 1～2局] [50.0596 ％（+0.0596） 1黒 3白 8目 4～10局] [50.1726 ％（+0.1726） 1黒 6白 9目 3～10局] [50.1197 ％（+0.1197） 1黒 7白 10目 3～11局] [50.0629 ％（+0.0629） 1黒 8白 11目 3～12局]
0.66,2000000,1,2,2,《1黒 3白 4目 2～5局で－０．４》,【完了】,[66.0249 ％（+16.0249） 1黒 1白 1目 1～1局] [58.8246 ％（+8.8246） 1黒 1白 2目 2～3局] [51.1547 ％（+1.1547） 1黒 2白 2目 1～2局] [49.5878 ％（-0.4122） 1黒 3白 4目 2～5局]
0.67,2000000,1,2,2,《1黒 3白 4目 2～5局で４９％》,【５２％】,[66.9884 ％（+16.9884） 1黒 1白 1目 1～1局] [59.4785 ％（+9.4785） 1黒 1白 2目 2～3局] [52.1270 ％（+2.1270） 1黒 2白 2目 1～2局] [49.8969 ％（-0.1031） 1黒 3白 4目 2～5局]
0.68,2000000,1,3,4,,【十分５０％精度２桁２～５局】】,[67.9630 ％（+17.9630） 1黒 1白 1目 1～1局] [60.1503 ％（+10.1503） 1黒 1白 2目 2～3局] [53.1977 ％（+3.1977） 1黒 2白 2目 1～2局] [50.2120 ％（+0.2120） 1黒 3白 4目 2～5局] [47.9415 ％（-2.0585） 1黒 5白 6目 2～7局]
0.69,2000000,1,3,3,,【４７％】,[69.0662 ％（+19.0662） 1黒 1白 1目 1～1局] [60.8670 ％（+10.8670） 1黒 1白 2目 2～3局] [54.2391 ％（+4.2391） 1黒 2白 2目 1～2局] [53.7837 ％（+3.7837） 1黒 2白 3目 2～4局] [47.2328 ％（-2.7672） 1黒 3白 3目 1～3局]
0.7,2000000,1,3,3,,,[69.9811 ％（+19.9811） 1黒 1白 1目 1～1局] [61.5493 ％（+11.5493） 1黒 1白 2目 2～3局] [55.2829 ％（+5.2829） 1黒 2白 2目 1～2局] [54.3497 ％（+4.3497） 1黒 2白 3目 2～4局] [48.1181 ％（-1.8819） 1黒 3白 3目 1～3局]
0.71,2000000,1,3,3,,,[71.0524 ％（+21.0524） 1黒 1白 1目 1～1局] [62.3846 ％（+12.3846） 1黒 1白 2目 2～3局] [56.3777 ％（+6.3777） 1黒 2白 2目 1～2局] [54.9843 ％（+4.9843） 1黒 2白 3目 2～4局] [49.0399 ％（-0.9601） 1黒 3白 3目 1～3局]
0.72,2000000,1,3,3,,,[71.9365 ％（+21.9365） 1黒 1白 1目 1～1局] [63.1404 ％（+13.1404） 1黒 1白 2目 2～3局] [57.4321 ％（+7.4321） 1黒 2白 2目 1～2局] [55.6029 ％（+5.6029） 1黒 2白 3目 2～4局] [49.9865 ％（-0.0135） 1黒 3白 3目 1～3局]
0.73,2000000,1,3,3,,,[73.0082 ％（+23.0082） 1黒 1白 1目 1～1局] [63.9807 ％（+13.9807） 1黒 1白 2目 2～3局] [58.6279 ％（+8.6279） 1黒 2白 2目 1～2局] [56.2563 ％（+6.2563） 1黒 2白 3目 2～4局] [50.9486 ％（+0.9486） 1黒 3白 3目 1～3局] [49.9750 ％（-0.0250） 1黒 4白 5目 2～6局]
0.74,2000000,1,3,3,,,[73.9505 ％（+23.9505） 1黒 1白 1目 1～1局] [64.7026 ％（+14.7026） 1黒 1白 2目 2～3局] [59.8066 ％（+9.8066） 1黒 2白 2目 1～2局] [56.9519 ％（+6.9519） 1黒 2白 3目 2～4局] [51.9608 ％（+1.9608） 1黒 3白 3目 1～3局] [50.3710 ％（+0.3710） 1黒 4白 5目 2～6局] [53.3783 ％（+3.3783） 1黒 3白 7目 3～9局] [53.3005 ％（+3.3005） 1黒 4白 7目 3～8局] [48.4183 ％（-1.5817） 1黒 6白 7目 2～8局]
0.75,2000000,1,4,4,,,[74.9712 ％（+24.9712） 1黒 1白 1目 1～1局] [65.6223 ％（+15.6223） 1黒 1白 2目 2～3局] [60.9327 ％（+10.9327） 1黒 2白 2目 1～2局] [57.7079 ％（+7.7079） 1黒 2白 3目 2～4局] [53.0302 ％（+3.0302） 1黒 3白 3目 1～3局] [48.5683 ％（-1.4317） 1黒 4白 4目 1～4局]
0.76,2000000,1,4,4,,,[75.9411 ％（+25.9411） 1黒 1白 1目 1～1局] [66.5033 ％（+16.5033） 1黒 1白 2目 2～3局] [62.1112 ％（+12.1112） 1黒 2白 2目 1～2局] [58.4960 ％（+8.4960） 1黒 2白 3目 2～4局] [54.0852 ％（+4.0852） 1黒 3白 3目 1～3局] [53.8534 ％（+3.8534） 1黒 3白 4目 2～5局] [49.5121 ％（-0.4879） 1黒 4白 4目 1～4局]
0.77,2000000,1,4,4,,,[77.0185 ％（+27.0185） 1黒 1白 1目 1～1局] [67.4501 ％（+17.4501） 1黒 1白 2目 2～3局] [63.3035 ％（+13.3035） 1黒 2白 2目 1～2局] [63.0243 ％（+13.0243） 1黒 1白 3目 3～5局] [59.3556 ％（+9.3556） 1黒 2白 3目 2～4局] [55.3512 ％（+5.3512） 1黒 3白 3目 1～3局] [54.5404 ％（+4.5404） 1黒 3白 4目 2～5局] [50.4441 ％（+0.4441） 1黒 4白 4目 1～4局] [50.0336 ％（+0.0336） 1黒 5白 6目 2～7局] [44.9560 ％（-5.0440） 1黒 7白 7目 1～7局]
0.78,2000000,1,4,4,,,[78.0041 ％（+28.0041） 1黒 1白 1目 1～1局] [68.3809 ％（+18.3809） 1黒 1白 2目 2～3局] [64.6232 ％（+14.6232） 1黒 2白 2目 1～2局] [63.7425 ％（+13.7425） 1黒 1白 3目 3～5局] [60.2843 ％（+10.2843） 1黒 2白 3目 2～4局] [56.4334 ％（+6.4334） 1黒 3白 3目 1～3局] [55.2639 ％（+5.2639） 1黒 3白 4目 2～5局] [51.5393 ％（+1.5393） 1黒 4白 4目 1～4局] [48.4733 ％（-1.5267） 1黒 5白 5目 1～5局]
0.79,2000000,1,5,5,,,[79.0034 ％（+29.0034） 1黒 1白 1目 1～1局] [69.4136 ％（+19.4136） 1黒 1白 2目 2～3局] [65.8652 ％（+15.8652） 1黒 2白 2目 1～2局] [64.5663 ％（+14.5663） 1黒 1白 3目 3～5局] [61.2285 ％（+11.2285） 1黒 2白 3目 2～4局] [57.8046 ％（+7.8046） 1黒 3白 3目 1～3局] [56.0791 ％（+6.0791） 1黒 3白 4目 2～5局] [52.6426 ％（+2.6426） 1黒 4白 4目 1～4局] [49.3940 ％（-0.6060） 1黒 5白 5目 1～5局]
0.8,2000000,1,5,5,,,[79.9833 ％（+29.9833） 1黒 1白 1目 1～1局] [70.4145 ％（+20.4145） 1黒 1白 2目 2～3局] [67.1961 ％（+17.1961） 1黒 2白 2目 1～2局] [65.3957 ％（+15.3957） 1黒 1白 3目 3～5局] [62.1255 ％（+12.1255） 1黒 2白 3目 2～4局] [58.9913 ％（+8.9913） 1黒 3白 3目 1～3局] [56.9821 ％（+6.9821） 1黒 3白 4目 2～5局] [53.8145 ％（+3.8145） 1黒 4白 4目 1～4局] [53.6303 ％（+3.6303） 1黒 4白 5目 2～6局] [50.3731 ％（+0.3731） 1黒 5白 5目 1～5局] [55.1002 ％（+5.1002） 1黒 4白 7目 3～8局] [50.0595 ％（+0.0595） 1黒 6白 7目 2～8局] [49.2326 ％（-0.7674） 1黒 7白 8目 2～9局]
0.81,2000000,1,6,6,,,[81.0191 ％（+31.0191） 1黒 1白 1目 1～1局] [71.4614 ％（+21.4614） 1黒 1白 2目 2～3局] [68.5631 ％（+18.5631） 1黒 2白 2目 1～2局] [66.3098 ％（+16.3098） 1黒 1白 3目 3～5局] [63.2886 ％（+13.2886） 1黒 2白 3目 2～4局] [60.3781 ％（+10.3781） 1黒 3白 3目 1～3局] [57.9101 ％（+7.9101） 1黒 3白 4目 2～5局] [55.0267 ％（+5.0267） 1黒 4白 4目 1～4局] [54.4072 ％（+4.4072） 1黒 4白 5目 2～6局] [51.4706 ％（+1.4706） 1黒 5白 5目 1～5局] [49.1105 ％（-0.8895） 1黒 6白 6目 1～6局]
0.82,2000000,1,6,6,,,[81.9755 ％（+31.9755） 1黒 1白 1目 1～1局] [72.5300 ％（+22.5300） 1黒 1白 2目 2～3局] [69.8986 ％（+19.8986） 1黒 2白 2目 1～2局] [67.2979 ％（+17.2979） 1黒 1白 3目 3～5局] [64.4427 ％（+14.4427） 1黒 2白 3目 2～4局] [61.7314 ％（+11.7314） 1黒 3白 3目 1～3局] [58.9814 ％（+8.9814） 1黒 3白 4目 2～5局] [56.3277 ％（+6.3277） 1黒 4白 4目 1～4局] [55.2592 ％（+5.2592） 1黒 4白 5目 2～6局] [52.6407 ％（+2.6407） 1黒 5白 5目 1～5局] [50.1324 ％（+0.1324） 1黒 6白 6目 1～6局] [58.9621 ％（+8.9621） 1黒 1白 8目 8～15局] [57.6872 ％（+7.6872） 1黒 2白 8目 5～11局] [56.6137 ％（+6.6137） 1黒 3白 8目 4～10局] [55.8999 ％（+5.8999） 1黒 4白 8目 3～9局] [50.0283 ％（+0.0283） 1黒 7白 8目 2～9局] [51.9859 ％（+1.9859） 1黒 7白 9目 3～10局] [49.2484 ％（-0.7516） 1黒 8白 9目 2～10局]
0.83,2000000,1,7,7,,,[83.0001 ％（+33.0001） 1黒 1白 1目 1～1局] [73.6665 ％（+23.6665） 1黒 1白 2目 2～3局] [71.2869 ％（+21.2869） 1黒 2白 2目 1～2局] [68.2975 ％（+18.2975） 1黒 1白 3目 3～5局] [65.6030 ％（+15.6030） 1黒 2白 3目 2～4局] [63.1895 ％（+13.1895） 1黒 3白 3目 1～3局] [60.0822 ％（+10.0822） 1黒 3白 4目 2～5局] [57.6921 ％（+7.6921） 1黒 4白 4目 1～4局] [56.1928 ％（+6.1928） 1黒 4白 5目 2～6局] [53.7698 ％（+3.7698） 1黒 5白 5目 1～5局] [53.6261 ％（+3.6261） 1黒 5白 6目 2～7局] [51.1629 ％（+1.1629） 1黒 6白 6目 1～6局] [49.3481 ％（-0.6519） 1黒 7白 7目 1～7局]
0.84,2000000,1,7,7,,,[84.0069 ％（+34.0069） 1黒 1白 1目 1～1局] [74.8814 ％（+24.8814） 1黒 1白 2目 2～3局] [72.6993 ％（+22.6993） 1黒 2白 2目 1～2局] [69.4630 ％（+19.4630） 1黒 1白 3目 3～5局] [66.8909 ％（+16.8909） 1黒 2白 3目 2～4局] [64.7235 ％（+14.7235） 1黒 3白 3目 1～3局] [61.3193 ％（+11.3193） 1黒 3白 4目 2～5局] [59.1271 ％（+9.1271） 1黒 4白 4目 1～4局] [57.2601 ％（+7.2601） 1黒 4白 5目 2～6局] [55.1237 ％（+5.1237） 1黒 5白 5目 1～5局] [54.5217 ％（+4.5217） 1黒 5白 6目 2～7局] [52.3775 ％（+2.3775） 1黒 6白 6目 1～6局] [50.4173 ％（+0.4173） 1黒 7白 7目 1～7局] [49.0480 ％（-0.9520） 1黒 8白 8目 1～8局]
0.85,2000000,1,8,8,,,[85.0308 ％（+35.0308） 1黒 1白 1目 1～1局] [76.0783 ％（+26.0783） 1黒 1白 2目 2～3局] [74.1482 ％（+24.1482） 1黒 2白 2目 1～2局] [70.5407 ％（+20.5407） 1黒 1白 3目 3～5局] [68.2751 ％（+18.2751） 1黒 2白 3目 2～4局] [66.3242 ％（+16.3242） 1黒 3白 3目 1～3局] [62.5757 ％（+12.5757） 1黒 3白 4目 2～5局] [60.6890 ％（+10.6890） 1黒 4白 4目 1～4局] [58.4975 ％（+8.4975） 1黒 4白 5目 2～6局] [56.6616 ％（+6.6616） 1黒 5白 5目 1～5局] [55.6139 ％（+5.6139） 1黒 5白 6目 2～7局] [53.6385 ％（+3.6385） 1黒 6白 6目 1～6局] [53.4484 ％（+3.4484） 1黒 6白 7目 2～8局] [51.4822 ％（+1.4822） 1黒 7白 7目 1～7局] [49.9653 ％（-0.0347） 1黒 8白 8目 1～8局]
0.86,2000000,1,9,9,,,[85.9699 ％（+35.9699） 1黒 1白 1目 1～1局] [77.2859 ％（+27.2859） 1黒 1白 2目 2～3局] [75.6215 ％（+25.6215） 1黒 2白 2目 1～2局] [71.8004 ％（+21.8004） 1黒 1白 3目 3～5局] [69.6830 ％（+19.6830） 1黒 2白 3目 2～4局] [67.9596 ％（+17.9596） 1黒 3白 3目 1～3局] [63.9815 ％（+13.9815） 1黒 3白 4目 2～5局] [62.3249 ％（+12.3249） 1黒 4白 4目 1～4局] [61.9217 ％（+11.9217） 1黒 3白 5目 3～6局] [59.7669 ％（+9.7669） 1黒 4白 5目 2～6局] [58.1260 ％（+8.1260） 1黒 5白 5目 1～5局] [56.7213 ％（+6.7213） 1黒 5白 6目 2～7局] [55.0551 ％（+5.0551） 1黒 6白 6目 1～6局] [54.4330 ％（+4.4330） 1黒 6白 7目 2～8局] [52.7489 ％（+2.7489） 1黒 7白 7目 1～7局] [52.7418 ％（+2.7418） 1黒 7白 8目 2～9局] [51.0830 ％（+1.0830） 1黒 8白 8目 1～8局] [51.4716 ％（+1.4716） 1黒 8白 9目 2～10局] [49.8471 ％（-0.1529） 1黒 9白 9目 1～9局]
0.87,2000000,1,9,10,,【1黒 9白 10目 2～11局で＋１．２２】,[87.0204 ％（+37.0204） 1黒 1白 1目 1～1局] [78.6285 ％（+28.6285） 1黒 1白 2目 2～3局] [77.2008 ％（+27.2008） 1黒 2白 2目 1～2局] [73.1488 ％（+23.1488） 1黒 1白 3目 3～5局] [71.1485 ％（+21.1485） 1黒 2白 3目 2～4局] [69.7492 ％（+19.7492） 1黒 3白 3目 1～3局] [69.3864 ％（+19.3864） 1黒 1白 4目 4～7局] [65.5564 ％（+15.5564） 1黒 3白 4目 2～5局] [64.0876 ％（+14.0876） 1黒 4白 4目 1～4局] [63.2170 ％（+13.2170） 1黒 3白 5目 3～6局] [61.2193 ％（+11.2193） 1黒 4白 5目 2～6局] [59.7661 ％（+9.7661） 1黒 5白 5目 1～5局] [58.0292 ％（+8.0292） 1黒 5白 6目 2～7局] [56.5512 ％（+6.5512） 1黒 6白 6目 1～6局] [55.5941 ％（+5.5941） 1黒 6白 7目 2～8局] [54.0764 ％（+4.0764） 1黒 7白 7目 1～7局] [53.7042 ％（+3.7042） 1黒 7白 8目 2～9局] [52.1941 ％（+2.1941） 1黒 8白 8目 1～8局] [52.3687 ％（+2.3687） 1黒 8白 9目 2～10局] [50.9293 ％（+0.9293） 1黒 9白 9目 1～9局] [53.1636 ％（+3.1636） 1黒 8白 10目 3～11局] [51.2269 ％（+1.2269） 1黒 9白 10目 2～11局] [49.8644 ％（-0.1356） 1黒 10白 10目 1～10局]
0.88,2000000,1,12,13,,【1黒 12白 13目 2～14局で４９％】,[88.0074 ％（+38.0074） 1黒 1白 1目 1～1局] [79.9621 ％（+29.9621） 1黒 1白 2目 2～3局] [78.6470 ％（+28.6470） 1黒 2白 2目 1～2局] [74.4390 ％（+24.4390） 1黒 1白 3目 3～5局] [72.7795 ％（+22.7795） 1黒 2白 3目 2～4局] [71.4121 ％（+21.4121） 1黒 3白 3目 1～3局] [70.6851 ％（+20.6851） 1黒 1白 4目 4～7局] [67.2129 ％（+17.2129） 1黒 3白 4目 2～5局] [65.9229 ％（+15.9229） 1黒 4白 4目 1～4局] [64.5733 ％（+14.5733） 1黒 3白 5目 3～6局] [62.8949 ％（+12.8949） 1黒 4白 5目 2～6局] [61.6266 ％（+11.6266） 1黒 5白 5目 1～5局] [61.1861 ％（+11.1861） 1黒 4白 6目 3～7局] [59.5082 ％（+9.5082） 1黒 5白 6目 2～7局] [58.3155 ％（+8.3155） 1黒 6白 6目 1～6局] [56.9882 ％（+6.9882） 1黒 6白 7目 2～8局] [55.7150 ％（+5.7150） 1黒 7白 7目 1～7局] [54.9160 ％（+4.9160） 1黒 7白 8目 2～9局] [53.6747 ％（+3.6747） 1黒 8白 8目 1～8局] [53.4346 ％（+3.4346） 1黒 8白 9目 2～10局] [52.1598 ％（+2.1598） 1黒 9白 9目 1～9局] [53.9367 ％（+3.9367） 1黒 8白 10目 3～11局] [52.2138 ％（+2.2138） 1黒 9白 10目 2～11局] [50.9692 ％（+0.9692） 1黒 10白 10目 1～10局] [54.6123 ％（+4.6123） 1黒 8白 11目 3～12局] [51.1846 ％（+1.1846） 1黒 10白 11目 2～12局] [50.0331 ％（+0.0331） 1黒 11白 11目 1～11局] [56.3630 ％（+6.3630） 1黒 7白 12目 3～13局] [50.5526 ％（+0.5526） 1黒 11白 12目 2～13局] [57.1296 ％（+7.1296） 1黒 5白 13目 5～15局] [56.7563 ％（+6.7563） 1黒 6白 13目 3～15局] [56.4137 ％（+6.4137） 1黒 7白 13目 3～14局] [49.9912 ％（-0.0088） 1黒 12白 13目 2～14局]
0.89,2000000,1,12,13,,【1黒 12白 13目 2～14局で５０％】,[88.9907 ％（+38.9907） 1黒 1白 1目 1～1局] [81.4106 ％（+31.4106） 1黒 1白 2目 2～3局] [80.2800 ％（+30.2800） 1黒 2白 2目 1～2局] [76.0064 ％（+26.0064） 1黒 1白 3目 3～5局] [74.4488 ％（+24.4488） 1黒 2白 3目 2～4局] [73.3922 ％（+23.3922） 1黒 3白 3目 1～3局] [72.0933 ％（+22.0933） 1黒 1白 4目 4～7局] [68.9882 ％（+18.9882） 1黒 3白 4目 2～5局] [67.9638 ％（+17.9638） 1黒 4白 4目 1～4局] [67.7002 ％（+17.7002） 1黒 2白 5目 3～7局] [66.1933 ％（+16.1933） 1黒 3白 5目 3～6局] [64.6567 ％（+14.6567） 1黒 4白 5目 2～6局] [63.5857 ％（+13.5857） 1黒 5白 5目 1～5局] [61.1872 ％（+11.1872） 1黒 5白 6目 2～7局] [60.1905 ％（+10.1905） 1黒 6白 6目 1～6局] [59.9664 ％（+9.9664） 1黒 5白 7目 3～8局] [58.5224 ％（+8.5224） 1黒 6白 7目 2～8局] [57.4000 ％（+7.4000） 1黒 7白 7目 1～7局] [56.3756 ％（+6.3756） 1黒 7白 8目 2～9局] [55.2391 ％（+5.2391） 1黒 8白 8目 1～8局] [54.6024 ％（+4.6024） 1黒 8白 9目 2～10局] [53.4962 ％（+3.4962） 1黒 9白 9目 1～9局] [54.8602 ％（+4.8602） 1黒 8白 10目 3～11局] [53.2910 ％（+3.2910） 1黒 9白 10目 2～11局] [52.2432 ％（+2.2432） 1黒 10白 10目 1～10局] [55.2395 ％（+5.2395） 1黒 8白 11目 3～12局] [52.2100 ％（+2.2100） 1黒 10白 11目 2～12局] [51.2239 ％（+1.2239） 1黒 11白 11目 1～11局] [56.8324 ％（+6.8324） 1黒 7白 12目 3～13局] [51.4054 ％（+1.4054） 1黒 11白 12目 2～13局] [50.2934 ％（+0.2934） 1黒 12白 12目 1～12局] [56.9507 ％（+6.9507） 1黒 7白 13目 3～14局] [50.7157 ％（+0.7157） 1黒 12白 13目 2～14局] [49.6278 ％（-0.3722） 1黒 13白 13目 1～13局]
