turn_system,failure_rate,p,span,t_step,h_step,shortest_coins,upper_limit_coins,theoretical_a_win_rate,theoretical_no_win_match_rate
alternating,0.0,0.6,1.0,1.0,1.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,2.0,1.0,1.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,2.0,2.0,1.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,2.0,2.0,2.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,3.0,1.0,1.0,3.0,5.0,0.53856,0.0
alternating,0.0,0.6,3.0,2.0,1.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,3.0,2.0,2.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,3.0,3.0,1.0,1.0,5.0,0.4041599999999999,0.0
alternating,0.0,0.6,3.0,3.0,2.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,3.0,3.0,3.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,4.0,1.0,1.0,4.0,7.0,0.5320320000000002,0.0
alternating,0.0,0.6,4.0,2.0,1.0,3.0,7.0,0.5045375999999999,0.0
alternating,0.0,0.6,4.0,2.0,2.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,4.0,3.0,1.0,2.0,7.0,0.4814976,0.0
alternating,0.0,0.6,4.0,3.0,2.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,4.0,3.0,3.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,4.0,4.0,1.0,1.0,7.0,0.3854976,0.0
alternating,0.0,0.6,4.0,4.0,2.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,4.0,4.0,3.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,4.0,4.0,4.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,5.0,1.0,1.0,5.0,9.0,0.5279923200000002,0.0
alternating,0.0,0.6,5.0,2.0,1.0,3.0,9.0,0.5007375359999999,0.0
alternating,0.0,0.6,5.0,2.0,2.0,3.0,5.0,0.53856,0.0
alternating,0.0,0.6,5.0,3.0,1.0,3.0,9.0,0.4978191359999999,0.0
alternating,0.0,0.6,5.0,3.0,2.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,5.0,3.0,3.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,5.0,4.0,1.0,2.0,9.0,0.474779136,0.0
alternating,0.0,0.6,5.0,4.0,2.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,5.0,4.0,3.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,5.0,4.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,5.0,5.0,1.0,1.0,9.0,0.378779136,0.0
alternating,0.0,0.6,5.0,5.0,2.0,1.0,5.0,0.4041599999999999,0.0
alternating,0.0,0.6,5.0,5.0,3.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,5.0,5.0,4.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,5.0,5.0,5.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,6.0,1.0,1.0,6.0,11.0,0.5251757875200025,0.0
alternating,0.0,0.6,6.0,2.0,1.0,4.0,11.0,0.5025213849600002,0.0
alternating,0.0,0.6,6.0,2.0,2.0,3.0,5.0,0.53856,0.0
alternating,0.0,0.6,6.0,3.0,1.0,3.0,11.0,0.4829588889599999,0.0
alternating,0.0,0.6,6.0,3.0,2.0,3.0,5.0,0.5232,0.0
alternating,0.0,0.6,6.0,3.0,3.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,6.0,4.0,1.0,3.0,11.0,0.4954004889599999,0.0
alternating,0.0,0.6,6.0,4.0,2.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,6.0,4.0,3.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,6.0,4.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,6.0,5.0,1.0,2.0,11.0,0.47236048896,0.0
alternating,0.0,0.6,6.0,5.0,2.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,6.0,5.0,3.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,6.0,5.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,6.0,5.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,6.0,6.0,1.0,1.0,11.0,0.3763604889599999,0.0
alternating,0.0,0.6,6.0,6.0,2.0,1.0,5.0,0.4041599999999999,0.0
alternating,0.0,0.6,6.0,6.0,3.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,6.0,6.0,4.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,6.0,6.0,5.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,6.0,6.0,6.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,7.0,1.0,1.0,7.0,13.0,0.5230678401024007,0.0
alternating,0.0,0.6,7.0,2.0,1.0,5.0,13.0,0.5026152800255994,0.0
alternating,0.0,0.6,7.0,2.0,2.0,4.0,7.0,0.5320320000000002,0.0
alternating,0.0,0.6,7.0,3.0,1.0,3.0,13.0,0.4795322720256,0.0
alternating,0.0,0.6,7.0,3.0,2.0,3.0,7.0,0.5198976,0.0
alternating,0.0,0.6,7.0,3.0,3.0,3.0,5.0,0.53856,0.0
alternating,0.0,0.6,7.0,4.0,1.0,3.0,13.0,0.4820881760255999,0.0
alternating,0.0,0.6,7.0,4.0,2.0,3.0,7.0,0.5045375999999999,0.0
alternating,0.0,0.6,7.0,4.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,7.0,4.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,7.0,5.0,1.0,3.0,13.0,0.4945297760255999,0.0
alternating,0.0,0.6,7.0,5.0,2.0,2.0,7.0,0.4814976,0.0
alternating,0.0,0.6,7.0,5.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,7.0,5.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,7.0,5.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,7.0,6.0,1.0,2.0,13.0,0.4714897760256,0.0
alternating,0.0,0.6,7.0,6.0,2.0,2.0,7.0,0.4814976,0.0
alternating,0.0,0.6,7.0,6.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,7.0,6.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,7.0,6.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,7.0,6.0,6.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,7.0,7.0,1.0,1.0,13.0,0.3754897760255999,0.0
alternating,0.0,0.6,7.0,7.0,2.0,1.0,7.0,0.3854976,0.0
alternating,0.0,0.6,7.0,7.0,3.0,1.0,5.0,0.4041599999999999,0.0
alternating,0.0,0.6,7.0,7.0,4.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,7.0,7.0,5.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,7.0,7.0,6.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,7.0,7.0,7.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,8.0,1.0,1.0,8.0,15.0,0.5214137728696603,0.0
alternating,0.0,0.6,8.0,2.0,1.0,5.0,15.0,0.5024327053148173,0.0
alternating,0.0,0.6,8.0,2.0,2.0,4.0,7.0,0.5320320000000002,0.0
alternating,0.0,0.6,8.0,3.0,1.0,4.0,15.0,0.487900287369216,0.0
alternating,0.0,0.6,8.0,3.0,2.0,3.0,7.0,0.507456,0.0
alternating,0.0,0.6,8.0,3.0,3.0,3.0,5.0,0.53856,0.0
alternating,0.0,0.6,8.0,4.0,1.0,3.0,15.0,0.463858815369216,0.0
alternating,0.0,0.6,8.0,4.0,2.0,3.0,7.0,0.5045375999999999,0.0
alternating,0.0,0.6,8.0,4.0,3.0,3.0,5.0,0.5232,0.0
alternating,0.0,0.6,8.0,4.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,5.0,1.0,3.0,15.0,0.4817747193692159,0.0
alternating,0.0,0.6,8.0,5.0,2.0,3.0,7.0,0.5045375999999999,0.0
alternating,0.0,0.6,8.0,5.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,8.0,5.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,5.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,6.0,1.0,3.0,15.0,0.4942163193692159,0.0
alternating,0.0,0.6,8.0,6.0,2.0,2.0,7.0,0.4814976,0.0
alternating,0.0,0.6,8.0,6.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,8.0,6.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,6.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,6.0,6.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,1.0,2.0,15.0,0.471176319369216,0.0
alternating,0.0,0.6,8.0,7.0,2.0,2.0,7.0,0.4814976,0.0
alternating,0.0,0.6,8.0,7.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,8.0,7.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,6.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,7.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,8.0,1.0,1.0,15.0,0.375176319369216,0.0
alternating,0.0,0.6,8.0,8.0,2.0,1.0,7.0,0.3854976,0.0
alternating,0.0,0.6,8.0,8.0,3.0,1.0,5.0,0.4041599999999999,0.0
alternating,0.0,0.6,8.0,8.0,4.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,5.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,6.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,7.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,8.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,9.0,1.0,1.0,9.0,17.0,0.5200710541442682,0.0
alternating,0.0,0.6,9.0,2.0,1.0,6.0,17.0,0.5024917902891435,0.0
